DN,objectClass,cn,name,groupType,displayName
"CN=Tier 0 Replication Maintenance,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,Tier 0 Replication Maintenance,Tier 0 Replication Maintenance,-2147483646,Tier 0 Replication Maintenance
"CN=Tier 1 Server Maintenance,OU=Groups,OU=Tier 1,OU=Admin,DC=contoso,DC=com",group,Tier 1 Server Maintenance,Tier 1 Server Maintenance,-2147483646,Tier 1 Server Maintenance
"CN=Service Desk Operators,OU=Groups,OU=Tier 2,OU=Admin,DC=contoso,DC=com",group,Service Desk Operators,Service Desk Operators,-2147483646,Service Desk Operators
"CN=Workstation Maintenance,OU=Groups,OU=Tier 2,OU=Admin,DC=contoso,DC=com",group,Workstation Maintenance,Workstation Maintenance,-2147483646,Workstation Maintenance
"CN=Cloud Service Admins,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,Cloud Service Admins,Cloud Service Admins,-2147483646,Cloud Service Admins
"CN=PAW Users,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,PAW Users,PAW Users,-2147483646,PAW Users
"CN=PAW Maintenance,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,PAW Maintenance,PAW Maintenance,-2147483646,PAW Maintenance
"CN=Tier 1 Admins,OU=Groups,OU=Tier 1,OU=Admin,DC=contoso,DC=com",group,Tier 1 Admins,Tier 1 Admins,-2147483646,Tier 1 Admins
"CN=Tier 2 Admins,OU=Groups,OU=Tier 2,OU=Admin,DC=contoso,DC=com",group,Tier 2 Admins,Tier 2 Admins,-2147483646,Tier 2 Admins
"CN=Logistics,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Logistics,Logistics,-2147483646,Logistics
"CN=InformationTechnology,OU=Departments,OU=Groups,DC=contoso,DC=com",group,InformationTechnology,InformationTechnology,-2147483646,InformationTechnology
"CN=ITSupport,OU=Departments,OU=Groups,DC=contoso,DC=com",group,ITSupport,ITSupport,-2147483646,ITSupport
"CN=StrategicInformationSystems,OU=Departments,OU=Groups,DC=contoso,DC=com",group,StrategicInformationSystems,StrategicInformationSystems,-2147483646,StrategicInformationSystems
